Set	Size	Count	z-score	Adj. z-score	Adj. p-value	Adj. q-value	List of genes
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB	18	16	2.84893	3.16845	0.000766265	0.0341262	ADCY5(3.01851); ADCY7(2.16637); PRKACG(1.68229); PRKACB(1.64951); ADCY2(1.28154); PRKAR1A(1.15443); ADCY8(0.576863); ADCY1(0.469184); PRKACA(-1.13887); PRKAR2A(-1.33446); ADCY6(-1.3739); CREB1(-1.41056); ADCY4(-1.434); PRKAR2B(-1.64199); ADCY3(-1.75418); ADCY9(-1.95957); 
KEGG_SMALL_CELL_LUNG_CANCER	84	81	3.31401	3.13265	0.000866183	0.0372459	CDKN2B(3.2927); CHUK(3.17987); CCNE2(2.5159); E2F3(2.45492); CDK6(2.03404); LAMA1(2.01263); NFKB1(1.89483); TP53(1.84575); TRAF5(1.70891); PTK2(1.44937); AKT2(1.19447); LAMB3(1.17827); CDKN1B(1.13406); CCND1(1.05514); PIK3R3(1.03799); PIK3CA(1.00295); RELA(0.980934); ITGA2(0.974537); PIK3CD(0.922132); LAMC3(0.901902); ITGAV(0.791252); AKT3(0.697771); LAMC1(0.692794); LAMB1(0.688733); COL4A1(0.657043); COL4A2(0.563499); FHIT(0.232096); BCL2(0.167984); RARB(0.105006); CKS1B(-1.12031); LAMB2(-1.12031); E2F1(-1.12031); CDK4(-1.13887); ITGA2B(-1.16173); PIAS3(-1.21163); AKT1(-1.22623); BIRC3(-1.22623); PIK3R2(-1.22623); TRAF4(-1.24043); PIAS4(-1.24043); CDK2(-1.3148); CCNE1(-1.3148); NFKBIA(-1.33446); E2F2(-1.33446); TRAF2(-1.38209); BIRC2(-1.38209); PTGS2(-1.38563); MYC(-1.38563); CYCS(-1.3987); TRAF6(-1.40054); PTEN(-1.40608); IKBKB(-1.40893); LAMA5(-1.41135); PIK3CB(-1.41301); PIAS1(-1.42197); BCL2L1(-1.42197); ITGA3(-1.42395); TRAF1(-1.43125); APAF1(-1.43125); PIK3CG(-1.45684); NOS2(-1.45684); SKP2(-1.46438); PIAS2(-1.49368); RXRA(-1.50275); MAX(-1.50738); CASP9(-1.51207); TRAF3(-1.52161); PIK3R5(-1.53627); RB1(-1.56137); ITGB1(-1.56646); RXRG(-1.58177); PIK3R1(-1.6468); LAMC2(-1.72159); LAMB4(-1.73248); FN1(-1.77931); COL4A4(-1.95091); ITGA6(-1.99749); LAMA4(-2.00504); LAMA3(-2.04944); RXRB(-2.17184); LAMA2(-2.27129); 
KEGG_DILATED_CARDIOMYOPATHY	92	87	3.64453	3.08876	0.00100496	0.0417729	ADCY5(3.01851); TNF(2.73922); ITGA5(2.31241); ADCY7(2.16637); MYL3(1.91076); ITGB6(1.8841); PRKACG(1.68229); PRKACB(1.64951); ITGA7(1.28606); ADCY2(1.28154); TNNC1(1.15649); SGCD(1.14929); TPM2(1.13725); TTN(1.11859); SGCG(1.06866); CACNA1D(1.04555); PLN(0.98659); ITGA2(0.974537); CACNG3(0.971439); ITGA1(0.898362); TNNT2(0.855139); CACNG4(0.810225); ITGAV(0.791252); CACNA2D3(0.765169); ADCY8(0.576863); ITGA4(0.575805); CACNA1C(0.484843); ADCY1(0.469184); SLC8A1(0.26239); RYR2(0.202462); CACNA2D1(0.189284); ITGA9(0.103341); CACNB2(-0.0951711); DMD(-0.178164); PRKACA(-1.13887); ITGA2B(-1.16173); CACNG7(-1.17098); ACTG1(-1.18207); CACNB3(-1.21163); TGFB1(-1.22623); DES(-1.26745); ITGA10(-1.26745); ACTB(-1.26745); CACNG8(-1.28019); ITGB7(-1.325); SGCB(-1.325); TPM3(-1.33446); ITGB4(-1.33446); ATP2A2(-1.34313); CACNB1(-1.35796); CACNG6(-1.36921); DAG1(-1.36921); ADCY6(-1.3739); LMNA(-1.37819); SGCA(-1.37819); ADRB1(-1.38563); TNNI3(-1.39172); MYL2(-1.39663); TGFB3(-1.39663); CACNG1(-1.40711); MYBPC3(-1.40711); TPM4(-1.40893); GNAS(-1.41865); ITGA3(-1.42395); ADCY4(-1.434); MYH7(-1.45684); MYH6(-1.45684); CACNG5(-1.50738); ACTC1(-1.52646); IGF1(-1.53135); CACNA2D2(-1.56137); ITGB1(-1.56646); TPM1(-1.58177); ITGB3(-1.6123); TGFB2(-1.64199); ADCY3(-1.75418); CACNA2D4(-1.85595); CACNA1S(-1.89557); ITGB5(-1.89878); ITGB8(-1.91462); ADCY9(-1.95957); CACNG2(-1.97083); ITGA6(-1.99749); ITGA11(-2.05879); CACNB4(-2.07213); ITGA8(-2.11998); LAMA2(-2.27129); 
KEGG_CALCIUM_SIGNALING_PATHWAY	178	164	3.43384	3.07419	0.00105536	0.0424526	PLCG1(3.15853); CCKAR(2.27281); ADCY7(2.16637); P2RX4(2.08598); PTGER3(2.02225); PRKACG(1.68229); CAMK2G(1.65334); PRKACB(1.64951); P2RX7(1.64015); HRH1(1.57029); CACNA1I(1.48783); GNA11(1.42198); CYSLTR2(1.36654); ADCY2(1.28154); ATP2B4(1.21188); CACNA1G(1.19835); PRKCB(1.18517); TNNC1(1.15649); P2RX5(1.14113); P2RX3(1.07969); PLCZ1(1.05575); CACNA1D(1.04555); PHKB(1.00063); ATP2B2(0.993527); GRIN2A(0.990344); PLN(0.98659); HTR6(0.945525); RYR3(0.917279); P2RX1(0.906722); ADRA1D(0.898856); ATP2A3(0.880816); HRH2(0.822472); PTK2B(0.814508); HTR4(0.744699); PPP3CA(0.741545); PLCE1(0.724742); CACNA1B(0.663412); ITPR3(0.608323); ADCY8(0.576863); CACNA1C(0.484843); ADCY1(0.469184); NTSR1(0.381478); HTR2A(0.331293); TACR1(0.288767); SLC8A1(0.26239); ERBB4(0.223912); ITPR1(0.216809); LHCGR(0.20359); RYR2(0.202462); MYLK(0.201013); GNAQ(0.186716); CACNA1E(0.17997); GNA14(0.15502); CHRM2(0.121668); GRM1(0.114873); PDE1C(0.102505); CHRM3(0.0855271); PLCG2(0.0817116); SLC8A3(-0.00778229); ITPR2(-0.156894); PLCB1(-0.233191); PHKG2(-0.949317); CALML6(-0.949317); GRIN1(-1.00775); PPID(-1.05664); PRKACA(-1.13887); CALM3(-1.16173); ATP2A1(-1.17098); SLC25A4(-1.18207); SPHK2(-1.18207); PPP3CB(-1.19667); VDAC3(-1.21163); ERBB3(-1.22623); HTR2B(-1.24043); MYLK3(-1.24043); VDAC2(-1.26745); PRKCG(-1.26745); ITPKA(-1.26745); CACNA1H(-1.28019); PLCB3(-1.29236); DRD5(-1.29236); CHRM1(-1.30391); ADORA2B(-1.30391); PTGER1(-1.30391); TBXA2R(-1.30391); PHKG1(-1.3148); TNNC2(-1.3148); NOS3(-1.34313); SLC25A31(-1.34313); ATP2A2(-1.34313); GRIN2C(-1.34313); SPHK1(-1.35098); PTAFR(-1.35796); GNA15(-1.35796); GRIN2D(-1.36403); CALML3(-1.3739); P2RX2(-1.37819); PLCB2(-1.37819); ERBB2(-1.37819); ADORA2A(-1.37819); CHP2(-1.37819); PLCD4(-1.38209); VDAC1(-1.38209); ADRB1(-1.38563); ADRB2(-1.38883); PLCD1(-1.38883); MYLK2(-1.39663); CALML5(-1.40054); CALM1(-1.40711); P2RX6(-1.40806); LTB4R2(-1.40976); PPP3R2(-1.41056); PDE1B(-1.41056); CALM2(-1.41056); PLCD3(-1.41135); SLC8A2(-1.41393); CCKBR(-1.41727); TRPC1(-1.41865); GNAS(-1.41865); PTGFR(-1.42197); AVPR1A(-1.42197); PDGFRA(-1.42197); CAMK2B(-1.42197); ADRA1B(-1.42395); TACR2(-1.42395); EDNRA(-1.42616); PPP3R1(-1.434); ADCY4(-1.434); DRD1(-1.43992); TRHR(-1.44634); NOS2(-1.45684); CD38(-1.48925); PPP3CC(-1.49368); ATP2B1(-1.49818); BDKRB1(-1.50275); F2R(-1.50738); AGTR1(-1.52646); RYR1(-1.54623); HTR5A(-1.55631); ITPKB(-1.57666); PDGFRB(-1.57666); BST1(-1.60724); OXTR(-1.60724); BDKRB2(-1.62233); CHRNA7(-1.63714); TACR3(-1.68734); HTR7(-1.71432); CHRM5(-1.72886); EDNRB(-1.73248); CAMK2A(-1.74335); ADCY3(-1.75418); NOS1(-1.88258); CACNA1S(-1.89557); GNAL(-1.95382); ADCY9(-1.95957); ADRA1A(-2.06057); CACNA1A(-2.08085); EGFR(-2.10053); CAMK2D(-2.13389); CAMK4(-2.15074); PLCB4(-2.19523); PDE1A(-2.1995); GRM5(-2.23565); PRKCA(-2.2394); 
BIOCARTA_G1_PATHWAY	28	28	2.16612	3.06787	0.00107795	0.0424526	CDKN2B(3.2927); CDKN2A(3.29108); CDK6(2.03404); TP53(1.84575); CDKN1A(1.73696); CDKN1B(1.13406); CCND1(1.05514); TFDP1(1.02287); CDK1(0.678244); ABL1(0.501369); GSK3B(0.303311); HDAC1(-0.874211); E2F1(-1.12031); CDK4(-1.13887); TGFB1(-1.22623); CDC25A(-1.26745); CDK2(-1.3148); CCNE1(-1.3148); CCNA1(-1.35796); SMAD4(-1.38209); TGFB3(-1.39663); ATR(-1.41056); SKP2(-1.46438); DHFR(-1.49368); ATM(-1.55126); RB1(-1.56137); TGFB2(-1.64199); SMAD3(-1.95957); 
BIOCARTA_TID_PATHWAY	19	19	1.71945	3.04749	0.0011538	0.0435995	TNF(2.73922); HSPA1A(2.19761); NFKB1(1.89483); TP53(1.84575); TAX1BP3(1.18848); RELA(0.980934); IFNGR1(0.964358); WT1(0.591648); USH1C(0.500776); TNFRSF1A(-1.3148); NFKBIA(-1.33446); DNAJA3(-1.36921); IKBKB(-1.40893); IFNGR2(-1.41216); TNFRSF1B(-1.41865); IFNG(-1.42863); RB1(-1.56137); JAK2(-1.66091); LIN7A(-1.98176); 
BIOCARTA_CXCR4_PATHWAY	24	24	3.36687	3.03706	0.00119449	0.0438099	BCAR1(3.28671); PLCG1(3.15853); NFKB1(1.89483); PTK2(1.44937); PRKCB(1.18517); PIK3CA(1.00295); RELA(0.980934); PTK2B(0.814508); PXN(0.702735); PIK3C2G(0.271473); GNAQ(0.186716); MAPK3(-1.09373); HRAS(-1.13887); CXCR4(-1.34313); CRK(-1.36921); GNB1(-1.40217); GNGT1(-1.43125); RAF1(-1.51681); CXCL12(-1.54623); MAP2K1(-1.55126); MAPK1(-1.57666); PIK3R1(-1.6468); GNAI1(-1.66549); PRKCA(-2.2394); 
KEGG_VIRAL_MYOCARDITIS	73	68	4.43932	3.00374	0.0013334	0.0475072	HLA-DQA1(3.33243); HLA-DRA(2.54506); HLA-DRB1(2.50815); HLA-B(2.50437); HLA-C(2.03061); MYH3(1.76862); HLA-DQA2(1.29772); HLA-E(1.29493); SGCD(1.14929); ITGAL(1.10922); HLA-DQB1(1.08885); SGCG(1.06866); CCND1(1.05514); RAC2(0.997362); MYH14(0.888871); BID(0.775823); MYH7B(0.753711); MYH2(0.746041); MYH1(0.740494); MYH9(0.570114); ABL1(0.501369); HLA-DMB(0.391819); HLA-DMA(0.38279); HLA-A(0.299871); HLA-G(0.253972); HLA-F(0.219182); HLA-DOB(0.0348384); DMD(-0.178164); RAC3(-1.09373); ACTG1(-1.18207); EIF4G1(-1.26745); ACTB(-1.26745); SGCB(-1.325); ICAM1(-1.325); DAG1(-1.36921); SGCA(-1.37819); CASP3(-1.39663); EIF4G2(-1.39663); PRF1(-1.3987); CYCS(-1.3987); CD55(-1.40054); MYH4(-1.40806); MYH8(-1.40806); CD28(-1.41393); RAC1(-1.41393); HLA-DRB3(-1.43125); CD40(-1.434); CASP8(-1.44634); CD86(-1.44972); ITGB2(-1.44972); MYH7(-1.45684); MYH6(-1.45684); CASP9(-1.51207); CXADR(-1.52161); ABL2(-1.54124); CAV1(-1.54623); CD80(-1.56137); MYH10(-1.56137); HLA-DRB4(-1.60217); MYH13(-1.64199); MYH11(-1.80414); MYH15(-1.88258); EIF4G3(-1.89878); FYN(-2.14604); HLA-DOA(-2.20726); HLA-DPB1(-2.23065); HLA-DPA1(-2.23409); LAMA2(-2.27129); 
REACTOME_REGULATION_OF_COMPLEMENT_CASCADE	14	13	3.14033	2.96766	0.00150039	0.0519719	CFB(2.6194); C2(2.52344); CFI(1.73764); PROS1(1.43792); C4A(1.05108); C3(1.0188); CFHR3(-1.21163); CD46(-1.40054); CD55(-1.40054); C4BPB(-1.40492); C4BPA(-1.42395); CFH(-1.48062); CR1(-1.66549); 
REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	23	20	1.73527	2.95234	0.00157686	0.0531445	CHUK(3.17987); AGER(2.37428); NFKB2(1.52606); S100A12(1.19045); S100B(1.16372); APP(1.10077); HMGB1(1.05796); RELA(0.980934); MAP3K7(0.341001); SAA1(-1.30391); NFKBIA(-1.33446); NFKBIB(-1.35098); TAB1(-1.3987); TRAF6(-1.40054); IKBKB(-1.40893); NOD2(-1.41056); RIPK2(-1.4369); IRAK2(-1.46438); NOD1(-1.51681); TAB2(-1.83204); 
ST_GAQ_PATHWAY	28	26	1.66176	2.93348	0.00167592	0.0549967	CFB(2.6194); NFKBIL1(2.57648); PLD3(1.9155); NFKB1(1.89483); NFKB2(1.52606); AKT2(1.19447); AKT3(0.697771); ITPR3(0.608323); ITPR1(0.216809); GNAQ(0.186716); ITPR2(-0.156894); PDPK1(-0.178164); ADRBK1(-1.13887); AKT1(-1.22623); ITPKA(-1.26745); PITX2(-1.30391); PLD2(-1.30391); NFKBIE(-1.3148); NFKBIA(-1.33446); NFKBIB(-1.35098); TONSL(-1.35796); DAG1(-1.36921); VN1R1(-1.38563); PIK3CB(-1.41301); ITPKB(-1.57666); PLD1(-1.99492); 
REACTOME_REGULATION_OF_INSULIN_SECRETION	93	85	2.85074	2.92352	0.00173049	0.0553313	KCNJ11(3.3128); ADCY5(3.01851); ABCC8(2.82564); GIP(2.74581); KCNS3(2.45335); GLP1R(2.41169); GRP(1.81129); SLC2A2(1.74435); GNAO1(1.7357); PRKACG(1.68229); PRKACB(1.64951); KCNC2(1.46849); GNA11(1.42198); GNB4(1.41698); PRKAR1A(1.15443); INS(0.977626); GNG13(0.913004); ITPR3(0.608323); ADCY8(0.576863); GATA4(0.478753); SNAP25(0.471211); GNG2(0.379503); RAPGEF4(0.267968); GNAQ(0.186716); GNA14(0.15502); CHRM3(0.0855271); CACNB2(-0.0951711); ITPR2(-0.156894); PLCB1(-0.233191); GNB2(-1.13887); PRKACA(-1.13887); SPCS1(-1.16173); GNG8(-1.17098); SLC25A4(-1.18207); GNG3(-1.18207); VAMP2(-1.19667); GNAI2(-1.21163); CACNB3(-1.21163); AKAP5(-1.22623); CDX2(-1.24043); RAP1B(-1.25419); STX1A(-1.28019); PLCB3(-1.29236); GNB3(-1.30391); PRKAR2A(-1.33446); KCNG2(-1.34313); FFAR1(-1.34313); MARCKS(-1.35098); STXBP1(-1.35796); GNA15(-1.35796); ISL1(-1.36403); PAX6(-1.36921); ADCY6(-1.3739); GCG(-1.37819); SEC11A(-1.37819); PLCB2(-1.37819); GNGT2(-1.38209); SPCS2(-1.38883); ADRA2A(-1.39172); SYT5(-1.40054); GNG10(-1.40217); GNB1(-1.40217); GNG5(-1.41135); CTNNB1(-1.41135); LEP(-1.41493); GNAS(-1.41865); GNG11(-1.42616); GNGT1(-1.43125); DPP4(-1.434); RAPGEF3(-1.45323); SPCS3(-1.46056); PCSK1(-1.48489); SLC2A1(-1.50275); GNB5(-1.50738); SEC11C(-1.56646); GNG7(-1.56646); GNG4(-1.6123); PRKAR2B(-1.64199); RAP1A(-1.65627); GNAI1(-1.66549); IQGAP1(-1.75058); GNG12(-1.88258); KCNB1(-1.94208); CACNA1A(-2.08085); PRKCA(-2.2394); 
KEGG_PROSTATE_CANCER	89	85	8.7661	2.86489	0.00208574	0.065023	CHUK(3.17987); TCF7L2(2.9259); CCNE2(2.5159); E2F3(2.45492); NFKB1(1.89483); TP53(1.84575); CREB3L2(1.83349); KLK3(1.78573); CDKN1A(1.73696); BRAF(1.61395); MTOR(1.54258); AKT2(1.19447); CDKN1B(1.13406); CCND1(1.05514); PIK3R3(1.03799); PIK3CA(1.00295); RELA(0.980934); INS(0.977626); PIK3CD(0.922132); FOXO1(0.861968); HSP90AA1(0.73904); AKT3(0.697771); IGF1R(0.612643); PDGFC(0.602373); GSK3B(0.303311); BCL2(0.167984); PDGFD(0.145155); CREB5(0.0518191); PDPK1(-0.178164); MAPK3(-1.09373); E2F1(-1.12031); CREB3(-1.13887); HRAS(-1.13887); CREB3L4(-1.17098); BAD(-1.18207); AKT1(-1.22623); PIK3R2(-1.22623); CREB3L1(-1.25419); ATF4(-1.26745); HSP90AB1(-1.28019); CDK2(-1.3148); CCNE1(-1.3148); NFKBIA(-1.33446); E2F2(-1.33446); NRAS(-1.35098); CREB3L3(-1.35098); GSTP1(-1.36403); INSRR(-1.3739); MDM2(-1.3739); ERBB2(-1.37819); FGFR1(-1.3987); MAP2K2(-1.3987); CREBBP(-1.3987); PTEN(-1.40608); IKBKB(-1.40893); PDGFB(-1.40976); CREB1(-1.41056); EP300(-1.41056); CTNNB1(-1.41135); PIK3CB(-1.41301); TCF7(-1.41603); NKX3-1(-1.41727); SRD5A2(-1.41727); PDGFRA(-1.42197); PIK3CG(-1.45684); GRB2(-1.48062); CASP9(-1.51207); RAF1(-1.51681); IGF1(-1.53135); KRAS(-1.53627); PIK3R5(-1.53627); LEF1(-1.54623); MAP2K1(-1.55126); RB1(-1.56137); PDGFRB(-1.57666); MAPK1(-1.57666); HSP90B1(-1.60724); FGFR2(-1.61733); EGF(-1.63224); PIK3R1(-1.6468); SOS2(-1.66549); SOS1(-1.69146); TGFA(-1.88258); TCF7L1(-2.05514); EGFR(-2.10053); 
KEGG_ASTHMA	30	28	4.26981	2.86326	0.00209656	0.065023	HLA-DQA1(3.33243); TNF(2.73922); HLA-DRA(2.54506); HLA-DRB1(2.50815); HLA-DQA2(1.29772); HLA-DQB1(1.08885); PRG2(1.08289); IL5(0.985425); CCL11(0.933775); HLA-DMB(0.391819); HLA-DMA(0.38279); HLA-DOB(0.0348384); RNASE3(-1.3148); IL13(-1.3739); FCER1G(-1.39431); IL3(-1.39431); EPX(-1.39663); IL4(-1.40806); IL10(-1.41056); FCER1A(-1.41216); MS4A2(-1.41493); IL9(-1.42616); HLA-DRB3(-1.43125); CD40(-1.434); HLA-DRB4(-1.60217); HLA-DOA(-2.20726); HLA-DPB1(-2.23065); HLA-DPA1(-2.23409); 
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	36	34	1.46664	2.84286	0.00223554	0.0663742	CDKN2A(3.29108); GAB1(1.22831); AKT2(1.19447); FLOT1(1.06885); RPS6KA2(1.00827); PIK3CA(1.00295); RPS6KA1(0.726121); PREX1(0.711982); PHF11(0.709431); AKT3(0.697771); CYTH3(0.634586); ITPR3(0.608323); LYN(0.304559); ITPR1(0.216809); PLCG2(0.0817116); ITPR2(-0.156894); PDPK1(-0.178164); CD19(-0.773884); NR0B2(-1.16173); FLOT2(-1.21163); AKT1(-1.22623); PITX2(-1.30391); NR4A3(-1.36403); RPS6KB1(-1.38883); PTEN(-1.40608); SAG(-1.42863); PPP1R13B(-1.46056); VAV1(-1.50275); DAPP1(-1.52646); PIK3R5(-1.53627); FOXO3(-1.65627); PTPRC(-1.75418); BCR(-1.79354); SYK(-2.07058); 
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	82	79	2.12259	2.823	0.0023788	0.0689852	PNPLA3(2.92352); SLC44A4(2.79331); DGAT1(2.63443); AGPAT1(2.52822); LPIN3(2.43508); EPT1(2.28681); PLD3(1.9155); AGPAT6(1.80458); AGPAT3(1.69789); AGPAT9(1.53466); SLC44A3(1.51208); PLBD1(1.35739); LPCAT3(1.24119); PNPLA2(1.12209); GNPAT(1.04939); GPAM(0.92423); PLA2G12A(0.84774); CHAT(0.761443); PLA2G2E(0.745969); MBOAT7(0.723665); LCLAT1(0.703129); PLA2G4F(0.700533); PLA2G5(0.67789); PTDSS1(0.625612); LPCAT2(0.444712); PLA2G4A(0.394557); PLA2G10(-0.178164); CDIPT(-0.949317); GPAT2(-1.09373); AGPAT2(-1.24043); LPCAT4(-1.24043); GPD1(-1.28019); SLC44A2(-1.29236); PLD2(-1.30391); PLD4(-1.3148); PLA2G1B(-1.325); CHKA(-1.325); ACHE(-1.35098); PLA2G16(-1.36403); PLA2G2F(-1.36403); PTDSS2(-1.36403); PLD6(-1.3739); CHKB(-1.37819); PHOSPHO1(-1.37819); PCYT1A(-1.38563); DGAT2(-1.38563); PLA2G2D(-1.39172); PLA2G3(-1.39663); PLA2G2A(-1.40217); HADHB(-1.40711); CRLS1(-1.40711); HADHA(-1.41056); CHPT1(-1.41393); CDS1(-1.41493); PITPNB(-1.41493); ETNK2(-1.41865); PGS1(-1.42197); CEPT1(-1.42616); ETNK1(-1.43992); PNPLA8(-1.46438); GPCPD1(-1.53135); PEMT(-1.55126); CDS2(-1.55126); LPIN2(-1.56646); LPCAT1(-1.58177); PLA2G4D(-1.6123); PLA2G6(-1.63224); MBOAT2(-1.63224); LPGAT1(-1.6468); GPD1L(-1.65156); LPIN1(-1.73611); PLA2G4C(-1.75779); AGPAT5(-1.76498); MGLL(-1.80061); MBOAT1(-1.80766); SLC44A1(-1.84236); PLD1(-1.99492); AGPAT4(-2.02634); SLC44A5(-2.18039); 
BIOCARTA_STRESS_PATHWAY	25	24	2.15572	2.769	0.00281145	0.0796791	CHUK(3.17987); LTA(2.74207); TNF(2.73922); NFKB1(1.89483); CRADD(1.08663); RELA(0.980934); MAP3K1(0.915015); MAP2K4(0.641192); MAP2K6(0.344964); TRADD(-1.12031); MAP4K2(-1.17098); JUN(-1.24043); TNFRSF1A(-1.3148); NFKBIA(-1.33446); CASP2(-1.35098); RIPK1(-1.36921); TRAF2(-1.38209); MAP2K3(-1.39431); ATF1(-1.40608); MAP3K14(-1.40711); IKBKB(-1.40893); TANK(-1.51681); MAPK14(-1.52646); MAPK8(-1.60217); 
REACTOME_ALPHA_LINOLENIC_ACID_ALA_METABOLISM	12	10	2.58551	2.75017	0.00297825	0.0825305	ACSL1(2.68925); FADS2(2.11796); FADS1(1.7277); ELOVL5(0.75512); SCP2(0.524645); ACAA1(-1.25419); ACOX1(-1.36921); ACOT8(-1.38883); ELOVL2(-1.42863); HSD17B4(-1.55631); 
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	67	64	2.12962	2.71299	0.00333398	0.0903799	CHUK(3.17987); TNF(2.73922); ACSL1(2.68925); ADIPOQ(2.29959); CAMKK2(2.08296); NFKB1(1.89483); LEPR(1.73893); STAT3(1.59508); MTOR(1.54258); PRKAG1(1.19481); AKT2(1.19447); SLC2A4(1.18848); G6PC(1.04137); G6PC2(1.0286); RELA(0.980934); ACACB(0.790893); AKT3(0.697771); PRKCQ(0.593446); PCK1(0.566007); PRKAG2(0.376024); MAPK10(0.0635777); AGRP(-1.00775); TRADD(-1.12031); PRKAG3(-1.13887); SOCS3(-1.13887); STK11(-1.13887); AKT1(-1.22623); CPT1C(-1.28019); PRKAB1(-1.3148); NFKBIE(-1.3148); PCK2(-1.3148); TNFRSF1A(-1.3148); NFKBIA(-1.33446); POMC(-1.34313); NFKBIB(-1.35098); CAMKK1(-1.37819); TRAF2(-1.38209); CPT1B(-1.39172); PTPN11(-1.3987); PRKAB2(-1.40054); ADIPOR1(-1.40608); PRKAA1(-1.40711); IKBKB(-1.40893); LEP(-1.41493); PRKAA2(-1.41493); TNFRSF1B(-1.41865); IRS2(-1.44972); IRS1(-1.45323); ACSL5(-1.45684); CPT1A(-1.46438); NPY(-1.48925); RXRA(-1.50275); SLC2A1(-1.50275); MAPK9(-1.51681); PPARA(-1.52161); ACSL3(-1.53627); ACSL6(-1.54124); RXRG(-1.58177); MAPK8(-1.60217); ADIPOR2(-1.65627); JAK2(-1.66091); PPARGC1A(-1.72159); CD36(-1.75779); RXRB(-2.17184); 
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	89	81	3.40387	2.66198	0.00388409	0.103052	HLA-DQA1(3.33243); HSPA1B(3.03614); LTA(2.74207); HLA-DRA(2.54506); HLA-DRB1(2.50815); HLA-B(2.50437); HSPA1A(2.19761); HSPA1L(2.16653); HLA-C(2.03061); HLA-DQA2(1.29772); HLA-E(1.29493); CANX(1.17761); HLA-DQB1(1.08885); CALR(1.05361); IFNA6(0.995); HSP90AA1(0.73904); NFYA(0.73271); TAPBP(0.668717); HLA-DMB(0.391819); HLA-DMA(0.38279); HLA-A(0.299871); HLA-G(0.253972); HLA-F(0.219182); HLA-DOB(0.0348384); KIR2DL1(-0.457193); KIR2DL3(-0.457193); PSME3(-0.457193); KIR2DL4(-1.12031); KIR2DS4(-1.12031); KIR3DL1(-1.15185); PSME2(-1.15185); IFI30(-1.16173); HSPA5(-1.18207); RFX5(-1.19667); PSME1(-1.21163); KLRC2(-1.21163); KIR3DL2(-1.22623); KLRC1(-1.24043); KLRC3(-1.24043); CTSS(-1.25419); RFXANK(-1.26745); HSP90AB1(-1.28019); IFNA1(-1.28019); KLRC4(-1.28019); PDIA3(-1.30391); HSPA4(-1.3148); CD8A(-1.3148); KIR3DL3(-1.325); CD8B(-1.33446); HSPA2(-1.35796); IFNA17(-1.36921); IFNA16(-1.36921); IFNA13(-1.3739); CD74(-1.37819); KLRD1(-1.37819); NFYB(-1.38563); IFNA14(-1.38563); IFNA10(-1.38883); IFNA2(-1.39663); IFNA7(-1.3987); IFNA8(-1.40054); IFNA5(-1.40217); B2M(-1.40363); HSPA8(-1.40492); RFXAP(-1.40492); IFNA21(-1.40608); LGMN(-1.40806); CREB1(-1.41056); CIITA(-1.41135); IFNA4(-1.41301); HSPA6(-1.42021); HLA-DRB3(-1.43125); CTSB(-1.44634); CD4(-1.44634); HLA-DRB4(-1.60217); NFYC(-1.65627); TAP1(-2.19811); TAP2(-2.205); HLA-DOA(-2.20726); HLA-DPB1(-2.23065); HLA-DPA1(-2.23409); 
BIOCARTA_IL5_PATHWAY	10	10	3.06696	2.62581	0.00432215	0.110495	HLA-DRA(2.54506); HLA-DRB1(2.50815); IL5(0.985425); CCL11(0.933775); IL6(0.619197); IL1B(-1.38563); IL4(-1.40806); CCR3(-1.41216); CD4(-1.44634); IL5RA(-1.55126); 
REACTOME_TRNA_AMINOACYLATION	42	42	1.5382	2.63128	0.00425323	0.110495	RARS(3.17518); CARS(2.64627); EEF1E1(2.03123); VARS(1.85385); LARS2(1.62903); SARS(1.54967); WARS2(1.22411); IARS(1.1932); KARS(1.08679); GARS(1.02877); FARSA(1.00294); WARS(0.688851); PPA1(0.678502); VARS2(0.190712); FARS2(-0.0706944); AARS(-0.773884); QARS(-1.12031); DARS2(-1.22623); MARS(-1.22623); MARS2(-1.24043); HARS2(-1.30391); IARS2(-1.33446); YARS(-1.33446); HARS(-1.35098); SARS2(-1.36921); PARS2(-1.38883); YARS2(-1.3987); NARS(-1.40054); EARS2(-1.40054); TARS2(-1.40363); AARS2(-1.40711); DARS(-1.40976); AIMP1(-1.40976); AIMP2(-1.41135); TARS(-1.42616); LARS(-1.51207); EPRS(-1.52646); CARS2(-1.53627); FARSB(-1.62233); RARS2(-1.63714); NARS2(-1.74696); PPA2(-1.83204); 
